,Kod,Name
0,45.20.21.000,"Услуги по обычному (текущему) техническому обслуживанию и ремонту прочих автотранспортных средств, кроме услуг по ремонту электрооборудования и кузовов"
1,95.22.10.120,Услуги по ремонту домашнего и садового инвентаря
2,95.22.10.110,Услуги по ремонту бытовых приборов
3,71.12.18,"Услуги по инженерно-техническому проектированию объектов связи, телевидения и радиовещания"
4,51.10.15,Услуги по нерегулярным перевозкам пассажиров воздушным транспортом экскурсионные
5,61.20.13,Услуги подвижной связи в выделенных радиосетях
6,46.49.23.000,Услуги по оптовой торговле писчебумажными и канцелярскими товарами
7,84.22.11,Услуги в области обеспечения военной безопасности
8,84.13.14,"Услуги государственного управления, связанные с транспортом и связью"
9,93.29.22,"Услуги автоматов для игр, действующих при опускании жетонов (монет)"
10,62.02.30,Услуги по технической поддержке информационных технологий
11,61.20.49,Услуги телекоммуникационные беспроводные прочие в информационно-коммуникационной сети Интернет
12,61.20.41.000,Услуги по узкополосному доступу к информационно-коммуникационной сети Интернет по беспроводным сетям
13,86.23.11,Услуги в области ортодонтии
14,85.12.1,Услуги в области общего начального образования
16,88.10.1,Услуги социальные без обеспечения проживания для престарелых и инвалидов
17,29.10.59.114,Автогудронаторы
18,61.90.10.192,Услуги факсимильной связи
19,50.30.20.000,Услуги по аренде судов внутреннего водного транспорта для перевозки пассажиров с экипажем
20,91.04.12,"Услуги природных заповедников, включая услуги по охране живой природы"
21,94.99.17,"Услуги, оказываемые прочими гражданскими и общественными организациями"
22,61.10.49,Услуги телекоммуникационные проводные в информационно-коммуникационной сети Интернет прочие
23,62.02.20.110,Услуги по планированию и проектированию компьютерных систем
24,68.32.13,"Услуги по управлению объектами нежилого фонда, предоставляемые за вознаграждение или на договорной основе"
25,68.32.11,"Услуги по управлению жилым фондом, предоставляемые за вознаграждение или на договорной основе, кроме недвижимости, находящейся в собственности на фиксированное время года"
26,62.01.21,Оригиналы программного обеспечения компьютерных игр
27,66.12.11,Услуги по брокерским операциям с ценными бумагами
28,69.20.32,Услуги по налоговому консультированию и подготовка налоговой документации для физических лиц
29,77.29.19,"Услуги по прокату прочих бытовых изделий и предметов личного пользования, не включенных в другие группировки"
30,82.30.11,Услуги по организации конференций
31,84.30.12.000,"Услуги обязательного социального обеспечения, связанные с программами пенсионного обеспечения государственных служащих; пособиями по старости, нетрудоспособности и в связи с потерей кормильца, кроме выплачиваемых государственным служащим"
32,84.11.12,Услуги государственного управления в бюджетно-финансовой и налоговой сфере
33,82.99.12,Услуги вспомогательные телефонистов
34,90,"Услуги в области творчества, искусства и развлечений"
35,84.12.13,Услуги государственного управления в области жилищного строительства и коммунального хозяйства
36,84.11.19,Услуги государственного управления общего характера прочие
37,86.10.12,Услуги гинекологических и акушерских отделений больниц
38,24.31.10.110,Прутки холоднотянутые из нелегированных сталей
39,14.20.10.650,Рукавицы и перчатки нагольные
40,27.11.62.120,"Комплектующие (запасные части) электрических преобразователей, не имеющие самостоятельных группировок"
41,29.10.59.141,Автомобили пожарные для тушения пожаров водой
42,10.20.34,"Ракообразные, приготовленные или консервированные другим способом; моллюски и прочие беспозвоночные водные, приготовленные или консервированные другим способом"
43,08.12.22,"Глины, андалузит, кианит и силлиманит прочие; муллит; земли шамотные или динасовые"
44,10.41.59,"Масла прочие и их фракции рафинированные, но не подвергнутые химической модификации; жиры растительные нелетучие и прочие масла растительные (кроме кукурузного) и их фракции, не включенные в другие группировки, очищенные, но не измененные химически"
45,10.41.72,"Дегра; отходы (остатки) от переработки веществ, содержащих жиры или животный или растительный воски"
46,46.39,"Услуги по неспециализированной оптовой торговле пищевыми продуктами, напитками и табачными изделиями"
47,47.77.10.000,Услуги по розничной торговле часами в специализированных магазинах
48,46.32,Услуги по оптовой торговле мясом и мясными продуктами
49,90.04.10.120,Услуги многоцелевых центров и подобных заведений с преобладанием культурного обслуживания
50,50.10.19.110,Услуги по заграничным перевозкам пассажиров морскими судами прочие
51,90.03.1,Творчество художественное
52,90.04.1,Услуги учреждений культуры и искусства
53,90.02.12.000,"Услуги по организации показа спектаклей, концертов и иных зрелищных программ (произведений исполнительского искусства), включая мероприятия по продвижению исполнительских искусств"
54,13.10.26.130,"Волокна абаки, подготовленные для прядения"
55,26.70.17.140,Негатоскопы
56,26.70.22.120,Монокуляры
57,01.11.32.111,Зерно озимой ржи
58,13.92.22.110,Брезенты
59,01.49.11.130,Кролики для убоя
60,25.40.13.110,"Бомбы, ракеты и аналогичные боеприпасы для ведения боевых действий и их детали"
